,price,year,kms,fuel,city,tags,starting_emi,company,car_name,cc
404,590000.0,2015,55331,Petrol,Mumbai,Home Test Drive,9797,Honda,City  ,
405,460000.0,2015,75236,Petrol + 1,Mumbai,Home Test Drive,7639,Maruti Suzuki,Swift  ,
406,500000.0,2016,46847,Petrol,Mumbai,Home Test Drive,8303,Honda,Amaze  ,1.2
407,670000.0,2017,14655,Petrol,Mumbai,No Tag,11126,Honda,Jazz  ,
408,625000.0,2015,52284,Petrol,Mumbai,Home Test Drive,,Honda,City  ,
409,775000.0,2016,55991,Petrol,Mumbai,Home Test Drive,12870,Honda,City  ,
410,425000.0,2015,25457,Petrol,Mumbai,Home Test Drive,7057,Maruti Suzuki,Wagon R,1.0
411,680000.0,2016,80815,Petrol,Mumbai,Home Test Drive,11292,Honda,City  ,
412,1545000.0,2018,36345,Petrol,Mumbai,Quality Report,25657,Skoda,Octavia  ,1.8
413,790000.0,2018,111390,Diesel,Mumbai,Quality Report,13119,Volkswagen,Vento  ,1.5
414,4285000.0,2021,20542,Diesel,Mumbai,No Tag,71159,MG,Gloster  ,2.0
415,2300000.0,2021,7500,Electric,Mumbai,Home Test Drive,38195,MG,ZS  ,
416,1750000.0,2019,29000,Petrol,Mumbai,No Tag,29061,Honda,Civic  ,
417,1750000.0,2018,70000,Diesel,Mumbai,Home Test Drive,29061,Toyota,Innova  ,
418,6500000.0,2022,14000,Petrol,Mumbai,Home Test Drive,1.08 L,BMW,X3  ,
419,495000.0,2014,42000,Petrol,Mumbai,No Tag,8220,Volkswagen,Jetta  ,
420,1265000.0,2018,33500,Petrol,Mumbai,Home Test Drive,21007,Hyundai,Creta  ,1.6
421,495000.0,2016,33000,Petrol,Mumbai,Home Test Drive,8220,Honda,Jazz  ,
422,7150000.0,2022,750,Electric,Mumbai,Newly Launched,1.19 L,BMW,i4  ,
423,1265000.0,2018,33500,Petrol,Mumbai,Home Test Drive,21007,Hyundai,Creta  ,1.6
424,495000.0,2016,33000,Petrol,Mumbai,Home Test Drive,8220,Honda,Jazz  ,
425,425000.0,2016,31500,Petrol,Mumbai,Home Test Drive,7057,Honda,Amaze  ,1.2
426,450000.0,2014,28000,Petrol,Mumbai,No Tag,7473,Hyundai,Grand i10,1.2
