,name,price,year,kms,fuel,city,homedrive,emi
1365,Mahindra Thar LX Hard Top Diesel MT,₹ 16.25 Lakh,2020,"38,500 km",Diesel,Hyderabad,,"EMI starts at₹26,985"
1366,Tata Nexon XM,₹ 9.45 Lakh,2022,"18,900 km",Petrol,Hyderabad,,"EMI starts at₹15,693"
1367,Skoda Rapid Ambition 1.6 TDI CR MT,₹ 7.45 Lakh,2016,"1,17,048 km",Diesel,Hyderabad,,"EMI starts at₹12,371"
1368,Renault Duster 110 PS RXZ 4X2 MT Diesel,₹ 6.95 Lakh,2016,"96,100 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹11,541"
1369,Hyundai Creta SX Plus 1.6 AT CRDI,₹ 11.95 Lakh,2017,"1,20,000 km",Diesel,Hyderabad,,"EMI starts at₹19,844"
1370,Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],₹ 4.75 Lakh,2016,"21,378 km",Petrol,Hyderabad,,"EMI starts at₹7,888"
1371,Hyundai i20 Asta 1.4 CRDI,₹ 4.2 Lakh,2012,"76,148 km",Diesel,Hyderabad,Home Test Drive,
1372,Volvo XC90 D5 Inscription,₹ 69 Lakh,2018,"50,000 km",Diesel,Hyderabad,,EMI starts at₹1.15 L
1373,Maruti Suzuki Wagon R LXi 1.0 CNG,₹ 6.65 Lakh,2021,"30,532 km",CNG,Hyderabad,Quality Report,"EMI starts at₹11,043"
1374,Hyundai Xcent SX 1.2 (O),₹ 4.73 Lakh,2014,"63,875 km",Petrol,Hyderabad,Quality Report,"EMI starts at₹7,854"
1375,Maruti Suzuki Alto 800 VXi,₹ 3.81 Lakh,2021,"13,338 km",Petrol,Hyderabad,,"EMI starts at₹6,327"
1376,Maruti Suzuki Wagon R 1.0 VXI,₹ 4.58 Lakh,2018,"45,053 km",Petrol,Hyderabad,,"EMI starts at₹7,605"
1377,Maruti Suzuki Alto 800 LXi (O),₹ 3.35 Lakh,2018,"25,237 km",Petrol,Hyderabad,Quality Report,"EMI starts at₹5,569"
1378,Maruti Suzuki Alto 800 Lxi,₹ 2.4 Lakh,2014,"69,091 km",Petrol,Hyderabad,,"EMI starts at₹3,985"
1379,Honda Brio S MT,₹ 3.59 Lakh,2012,"73,928 km",Petrol,Hyderabad,,
1380,Maruti Suzuki Swift LXi 1.2 BS-IV,₹ 3.57 Lakh,2010,"54,057 km",Petrol,Hyderabad,Home Test Drive,
1381,Honda City V MT CNG Compatible,₹ 3.46 Lakh,2013,"76,600 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,745"
1382,Maruti Suzuki Alto K10 VXi [2014-2019],₹ 3.52 Lakh,2017,"27,805 km",Petrol,Hyderabad,,"EMI starts at₹5,845"
1383,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 5.19 Lakh,2017,"30,387 km",Petrol,Hyderabad,,"EMI starts at₹8,618"
1384,Hyundai Santro Sportz [2018-2020],₹ 4.73 Lakh,2019,"42,833 km",Petrol,Hyderabad,Great Price,"EMI starts at₹7,854"
1385,Mahindra Thar CRDe 4x4 AC,₹ 8.74 Lakh,2019,"18,093 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹14,514"
